epoch,train_loss,val_acc,val_f1,val_auc,lr
1,0.6895996071398258,0.6774193548387096,0.6743697478991597,0.7991452991452991,0.0001
2,0.6303032711148262,0.8387096774193549,0.8387096774193549,0.9358974358974359,0.0002
3,0.4954224079847336,0.8387096774193549,0.8380355276907001,0.9444444444444444,0.0003
4,0.4129145499318838,0.8064516129032258,0.8012820512820513,0.9230769230769231,0.0004
5,0.34049433283507824,0.8064516129032258,0.8012820512820513,0.9230769230769231,0.0005
6,0.25193195696920156,0.8064516129032258,0.80625,0.9401709401709403,0.0004888888888888889
7,0.22271481528878212,0.8064516129032258,0.80625,0.9316239316239316,0.0004777777777777778
8,0.17517882958054543,0.7419354838709677,0.7280701754385965,0.9102564102564104,0.00046666666666666666
9,0.1498536104336381,0.7419354838709677,0.7280701754385965,0.9102564102564104,0.00045555555555555556
10,0.12603021739050746,0.7741935483870968,0.7732497387669801,0.8675213675213675,0.0004444444444444444
11,0.11436959030106664,0.7741935483870968,0.7741935483870968,0.8376068376068376,0.00043333333333333337
12,0.10529971960932016,0.7741935483870968,0.7741935483870968,0.7564102564102564,0.0004222222222222222
